URL: /
Timestamp: Fri Mar 24 2023 19:29:37 GMT-0400 (Eastern Daylight Time)

URL: /server.js
Timestamp: Fri Mar 24 2023 19:29:37 GMT-0400 (Eastern Daylight Time)

URL: /documentation.html
Timestamp: Fri Mar 24 2023 19:29:51 GMT-0400 (Eastern Daylight Time)

::1 - - [02/Apr/2023:22:37:10 +0000] "GET /movies/trading%20places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:37:22 +0000] "GET /movies/trading%20places HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:42:32 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:44:25 +0000] "GET /movie/scarface HTTP/1.1" 404 153
::1 - - [02/Apr/2023:22:44:31 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:09 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:15 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:16 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:22 +0000] "GET / HTTP/1.1" 200 22
::1 - - [02/Apr/2023:22:48:28 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:48:41 +0000] "GET /movies/the%20daek%20knight HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:45 +0000] "GET /movies/the%20dark%20knight HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:54 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:48:58 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:49:16 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:49:39 +0000] "GET /movies/The%20Dark%20Knight HTTP/1.1" 200 726
::1 - - [02/Apr/2023:22:50:55 +0000] "GET /movies/Coming%20To%20America HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:51:02 +0000] "GET /movies/Coming%20to%20America HTTP/1.1" 200 740
::1 - - [02/Apr/2023:22:51:38 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:56:06 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:56:16 +0000] "GET /movies/Coming%20To%20America HTTP/1.1" 200 740
::1 - - [02/Apr/2023:22:57:27 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:57:38 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:57:59 +0000] "GET /movies/The%20Dark%20Knight HTTP/1.1" 200 726
::1 - - [02/Apr/2023:22:58:10 +0000] "GET /movies/The%20Dark%20Knight%20Rises HTTP/1.1" 200 704
::1 - - [02/Apr/2023:22:58:22 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:58:58 +0000] "GET /movies/scarface HTTP/1.1" 400 13
::1 - - [02/Apr/2023:22:59:06 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:22:59:35 +0000] "GET /movies HTTP/1.1" 200 7537
::1 - - [02/Apr/2023:22:59:51 +0000] "GET /movies/Thor HTTP/1.1" 200 815
::1 - - [02/Apr/2023:23:00:04 +0000] "GET /movies/Scarface HTTP/1.1" 200 723
::1 - - [02/Apr/2023:23:02:02 +0000] "GET /movies/Genre/Action HTTP/1.1" 500 5
::1 - - [02/Apr/2023:23:08:26 +0000] "GET /movies/genre HTTP/1.1" 400 13
::1 - - [02/Apr/2023:23:08:35 +0000] "GET /movies/Genre HTTP/1.1" 400 13
::1 - - [02/Apr/2023:23:10:31 +0000] "GET /movies/genre/action HTTP/1.1" 500 5
